cz,czname,stateabbrv,n_ige_rank_8085,prob_p1_k1,prob_p1_k2,prob_p1_k3,prob_p1_k4,prob_p1_k5,prob_p2_k1,prob_p2_k2,prob_p2_k3,prob_p2_k4,prob_p2_k5,prob_p3_k1,prob_p3_k2,prob_p3_k3,prob_p3_k4,prob_p3_k5,prob_p4_k1,prob_p4_k2,prob_p4_k3,prob_p4_k4,prob_p4_k5,prob_p5_k1,prob_p5_k2,prob_p5_k3,prob_p5_k4,prob_p5_k5,frac_par_1,frac_par_2,frac_par_3,frac_par_4,frac_par_5,frac_kid_1,frac_kid_2,frac_kid_3,frac_kid_4,frac_kid_5,pop2000,intersects_msa,cs_race_bla,cs_race_theil_2000,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,frac_traveltime_lt15,hhinc00,gini,inc_share_1perc,gini99,frac_middleclass,taxrate,subcty_total_expenditure_pc,tax_st_diff_top20,eitc_exposure,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,num_inst_pc,tuition,gradrate_r,cs_labforce,cs_elf_ind_man,d_tradeusch_pw_1990,frac_worked1416,mig_inflow,mig_outflow,cs_born_foreign,scap_ski90pcm,rel_tot,crime_violent,cs_fam_wkidsinglemom,cs_divorced,cs_married,incgrowth0010
34501.0,Bonners Ferry,ID,949.0,0.2974138,0.21551724,0.21982759,0.16810344,0.09913793,0.15194346,0.21908127,0.23674911,0.2614841,0.13074204,0.15953307,0.22568093,0.19844358,0.25291827,0.16342412,0.114035085,0.1754386,0.21929824,0.23684211,0.25438598,0.10606061,0.121212125,0.27272728,0.25757575,0.24242425,0.24369748,0.2972689,0.269958,0.1197479,0.069327734,0.18172269,0.2079832,0.22268908,0.23319328,0.15441176,"9,871",0.0,0.0009117617,0.010856893,0.0025488636,0.0017386975,-0.00015069521,0.4383788,28982.873,0.38326,10.362,0.27964002,0.56769,0.012712989,2032.4052,0.39999999999999947,0.0,4.667600896860987,19.45846412556054,4.7342424,0.03108501,,,,0.58781755,0.14440994,0.46304234833662555,0.0060088,0.01661432478978827,0.01803262080842873,0.029250458,-0.2949996329421816,0.35811976,0.0009117617,0.15610142,0.109563604,0.61612946,-0.010919973
34502.0,Libby,MT,1827.0,0.26052105,0.20841683,0.20841683,0.19238476,0.13026053,0.17567568,0.2027027,0.26061776,0.21428572,0.14671814,0.18354431,0.17299578,0.21518987,0.20675105,0.221519,0.1532567,0.12260536,0.18773946,0.24904214,0.28735632,0.10666667,0.13333334,0.16,0.33333334,0.26666668,0.27312535,0.2835249,0.2594417,0.14285715,0.041050903,0.19485496,0.18226601,0.22003284,0.21620142,0.18664478,"18,837",0.0,0.0010086532,0.0035504238,0.009347009,0.0052278684,0.016275592,0.59948653,26385.406,0.36922,9.077,0.27844998,0.57971,0.024271356,1638.3502,0.0,0.0,5.077387198321091,17.06492654774397,5.058121,-0.010288433,,,,0.53493714,0.1273848,0.032885204276043266,0.0044835,0.014174231565535914,0.014068057546318416,0.014121145,0.6595327087197634,0.3821734,0.0010086532,0.18117543,0.11648556,0.6188047,0.020406358
34503.0,Kalispell,MT,10210.0,0.27063107,0.25323623,0.20024271,0.16504854,0.11084142,0.21442805,0.21721801,0.21562375,0.20486249,0.14786768,0.14019449,0.22285251,0.22609401,0.22001621,0.19084279,0.1237933,0.1794435,0.20556502,0.25553662,0.23566155,0.14,0.156,0.193,0.246,0.265,0.24211557,0.24573947,0.2417238,0.17247796,0.097943194,0.18716945,0.21478942,0.21047992,0.21165524,0.17590597,"111,205",0.0,0.0013578526,0.17285739,0.024223438,0.021438498,0.028282676,0.45032027,32003.248,0.43982,11.3619995,0.3262,0.55916,0.018567912,1709.9788,0.0,0.0,4.984789597428146,17.93338611391008,5.978268,0.0083295815,0.017984804,2096.4478,-0.12053502,0.62345093,0.11487161,0.6504771811877507,0.0061844997,0.02139292298008183,0.0171844791151477,0.019868616,0.5272413350380669,0.3950452,0.0013308754,0.19070457,0.11816455,0.5915464,0.0065196697
34504.0,Missoula,MT,10566.0,0.27721402,0.25184503,0.20018451,0.16512915,0.105627306,0.19273628,0.22492777,0.2290549,0.2080066,0.14527446,0.1581489,0.21006036,0.23259558,0.21810865,0.18108653,0.13195777,0.18330134,0.21065259,0.24088292,0.23320538,0.1344239,0.14651494,0.2119488,0.242532,0.26458037,0.20518644,0.22932047,0.23518834,0.19723642,0.13306834,0.18218815,0.20830967,0.21805792,0.21266326,0.178781,"135,756",1.0,0.0022687763,0.032690227,0.059865847,0.064050876,0.057934016,0.46749657,31286.064,0.41762,8.702001,0.3306,0.56406,0.021849565,1656.618,0.0,0.0,5.145145407352194,17.44139494412896,8.572976,0.0037876947,0.007366157,2250.0,0.047765132,0.6712329,0.07583513,0.5115327548868374,0.0054885,0.024963905831049824,0.023792686879401278,0.021085918,1.1697123923838983,0.31395298,0.002202481,0.19632751,0.108306155,0.54261804,0.0042946083
34601.0,Gillette,WY,5203.0,0.22695035,0.17907801,0.17553191,0.15425532,0.2641844,0.15579228,0.14380826,0.1611185,0.2370173,0.30226365,0.100494236,0.14085667,0.14744645,0.23970346,0.37149918,0.08457415,0.11435378,0.14949374,0.21977368,0.43180466,0.097487435,0.09949749,0.13869347,0.20100503,0.4633166,0.108399004,0.1443398,0.23332693,0.32269844,0.19123583,0.11647127,0.12896407,0.15145108,0.2162214,0.38689217,"46,229",0.0,0.0012546238,0.020783287,0.044599377,0.05144275,0.039959572,0.5363045,34452.016,0.29542,8.507,0.21034999,0.57182,0.058161,4314.919,0.0,0.0,7.141512984569063,14.535462618160988,5.88294,0.008905642,,,,0.72410184,0.03300816,0.02276834410092003,0.0068412,0.017867572303099787,0.01661294858205888,0.01440298,-0.9264350783419164,0.48214325,0.0016223582,0.15183936,0.098104574,0.6257733,0.019770302
34602.0,Rawlins,WY,1515.0,0.27160493,0.20164609,0.17695473,0.1563786,0.19341564,0.17957747,0.18661971,0.17253521,0.22887324,0.23239437,0.15196079,0.17156863,0.18627451,0.23774509,0.25245097,0.08728179,0.13965087,0.19700748,0.22693267,0.34912717,0.0726257,0.12290503,0.15083799,0.24022347,0.41340783,0.16039604,0.18745874,0.26930693,0.26468647,0.118151814,0.14983499,0.1650165,0.18085809,0.22046204,0.28382838,"15,639",0.0,0.006586099,0.06624602,0.0025168876,0.0017153833,0.0025685,0.72247076,31828.03,0.26924,4.303,0.22621,0.64512,0.041241128,3351.1013,0.0,0.0,7.181919718972802,13.714431712604522,-5.2077527,0.01565177,,,,0.6257808,0.0661191,0.023415203305903434,0.0069925,0.018479442419592044,0.025001598567683355,0.028701682,-0.6459283113630025,0.4293753,0.0030053072,0.19167984,0.12257706,0.6127264,0.019242745
34603.0,Casper,WY,7341.0,0.24661893,0.21320605,0.19172633,0.1821798,0.1662689,0.16124661,0.18902439,0.18292683,0.2100271,0.25677508,0.116015844,0.15449916,0.19354838,0.24221845,0.29371816,0.0856974,0.11997636,0.17907801,0.2358156,0.37943262,0.0948651,0.1105309,0.16100958,0.21496955,0.41862488,0.17123008,0.20106253,0.2407029,0.2304863,0.15651819,0.13717477,0.1566544,0.18267266,0.21972483,0.3037733,"78,585",1.0,0.0062480117,0.025340134,0.056827854,0.052504867,0.056263458,0.52846116,34839.746,0.43023,15.007,0.28016,0.57977,0.019115796,2999.53,0.0,0.0,6.457502314186459,17.021375464684017,-0.21442124,0.058751028,0.012725075,1248.0,-0.14732167,0.6829474,0.05508453,0.44800850821469373,0.0063498,0.021963479035439333,0.019227587962079278,0.01808118,0.542322753041049,0.4349685,0.0014252084,0.2211492,0.13197765,0.5708748,0.013173238
34604.0,Lusk,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,407",0.0,0.0012463648,0.0,0.0,0.0,0.0,0.71953577,30782.982,0.41841,,,,0.036242306,5706.2827,0.0,0.0,7.654618473895583,12.465261044176707,,,,,,0.6169439,0.02179599,0.03356368416765084,,,,0.0071129706,0.8082631702784692,0.49231407,0.0016618196,0.15555556,0.10646969,0.6051961,0.008183744
34701.0,Honolulu,HI,58195.0,0.28521875,0.2185297,0.22401254,0.1669464,0.1052926,0.21369042,0.20816556,0.23869276,0.20432624,0.13512501,0.1758224,0.18748492,0.2515081,0.22030081,0.16488378,0.1427913,0.16491282,0.23957293,0.24126276,0.21146017,0.12813285,0.13171326,0.20370229,0.24575303,0.29069856,0.15356989,0.18350373,0.21364379,0.22371338,0.2255692,0.18142453,0.17841738,0.23148037,0.21960649,0.18907122,"876,156",1.0,0.022351043,0.14025319,0.10666772,0.100632384,0.10496294,0.2351303,39403.992,0.39558,9.084,0.30474,0.51689,0.014641721,1316.2129,1.0499999999999998,0.0,6.562911331020554,18.361843645158775,-14.798788,0.018076327,0.014837541,5087.8545,-0.105066136,0.6473376,0.037828725,,0.0026256999,0.03043179525107401,0.03394715096398358,0.19202745,,0.3331975,0.0011468636,0.16737711,0.08429628,0.5335173,0.0014864681
34702.0,Kapaa,HI,4699.0,0.3256351,0.20669746,0.18937644,0.17898384,0.09930716,0.23174031,0.21641119,0.2524797,0.18755636,0.11181244,0.15622318,0.17939915,0.24034335,0.24120171,0.18283261,0.1154239,0.17773238,0.25025538,0.25740552,0.19918284,0.12931034,0.15689655,0.19310345,0.26551723,0.2551724,0.18429454,0.23600766,0.24792509,0.2083422,0.12343052,0.19344541,0.19004044,0.23004894,0.2234518,0.16301341,"58,463",0.0,0.0027880883,0.0644554,0.012816784,0.010954063,0.014161514,0.37028664,38209.547,0.35143,5.7,0.29443,0.595,0.020236263,1404.8108,1.0499999999999998,0.0,6.562911331020554,17.971215948042577,,,0.017104836,1032.0,-0.24433134,0.631285,0.024469394,,0.0035148,0.01725877905683937,0.006191950464396285,0.12986392,,0.5231856,0.0020183707,0.20742899,0.097848594,0.54558927,-0.007820131
